Designator,UI_Pin,UI_Token,EDB_Pin,Net,Source,Confidence
IC100,AD31,AD31,AD31,EMMC_DATA[5],components_api,0.93
IC100,AD4,AD4,AD4,GND,runtime_pin_display,0.96
IC100,AD4,AD4,AD4,GND,components_api,0.93
IC100,AE12,AE12,AE15,GND,siw_coord_net,0.86
IC100,AE15,AE15,AE15,GND,runtime_pin_display,0.96
IC100,AE15,AE15,AE15,GND,components_api,0.93
IC100,AE23,AE23,AE23,TPO_DATA[0],runtime_pin_display,0.96
IC100,AE23,AE23,AE23,TPO_DATA[0],components_api,0.93
IC100,AE25,AE25,AE25,TPO_SOP,runtime_pin_display,0.96
IC100,AE25,AE25,AE25,TPO_SOP,components_api,0.93
IC100,AE26,AE26,AE26,GND,runtime_pin_display,0.96
IC100,AE26,AE26,AE26,GND,components_api,0.93
IC100,AE27,AE27,AE27,GND,runtime_pin_display,0.96
IC100,AE27,AE27,AE27,GND,components_api,0.93
IC100,AE28,AE28,AE28,GND,runtime_pin_display,0.96
IC100,AE28,AE28,AE28,GND,components_api,0.93
IC100,AE29,AE29,AE29,EMMC_CMD,runtime_pin_display,0.96
IC100,AE29,AE29,AE29,EMMC_CMD,components_api,0.93
IC100,AE3,AE3,AE3,HDMI2.1_3_D1_-_IM90,runtime_pin_display,0.96
IC100,AE3,AE3,AE3,HDMI2.1_3_D1_-_IM90,components_api,0.93
IC100,AE30,AE30,AE30,EMMC_RST,runtime_pin_display,0.96
IC100,AE30,AE30,AE30,EMMC_RST,components_api,0.93
IC100,AE4,AE4,AE4,GND,runtime_pin_display,0.96
IC100,AE4,AE4,AE4,GND,components_api,0.93
IC100,AE5,AE5,AE5,GND,runtime_pin_display,0.96
IC100,AE5,AE5,AE5,GND,components_api,0.93
IC100,AE7,AE7,AE7,GND,runtime_pin_display,0.96
IC100,AE7,AE7,AE7,GND,components_api,0.93
IC100,AE9,AE9,AE9,GND,runtime_pin_display,0.96
IC100,AE9,AE9,AE9,GND,components_api,0.93
IC100,AF1,AF1,AF1,HDMI2.1_3_D2_-_IM90,runtime_pin_display,0.96
IC100,AF1,AF1,AF1,HDMI2.1_3_D2_-_IM90,components_api,0.93
IC100,AF11,AF11,AJ11,+CPU_1V0,siw_coord_net,0.86
IC100,AF13,AF13,AF13,+D1V0,runtime_pin_display,0.96
IC100,AF13,AF13,AF13,+D1V0,components_api,0.93
IC100,AF14,AF14,AF14,+D1V0,runtime_pin_display,0.96
IC100,AF14,AF14,AF14,+D1V0,components_api,0.93
IC100,AF2,AF2,AF2,GND,runtime_pin_display,0.96
IC100,AF2,AF2,AF2,GND,components_api,0.93
IC100,AF29,AF29,AF29,CAM_CD2_N_SC_CMD_VCC,runtime_pin_display,0.96
IC100,AF29,AF29,AF29,CAM_CD2_N_SC_CMD_VCC,components_api,0.93
IC100,AF3,AF3,AF3,HDMI2.1_3_D1_+_IM90,runtime_pin_display,0.96
IC100,AF3,AF3,AF3,HDMI2.1_3_D1_+_IM90,components_api,0.93
IC100,AF30,AF30,AF30,GND,runtime_pin_display,0.96
IC100,AF30,AF30,AF30,GND,components_api,0.93
IC100,AF31,AF31,AF31,EMMC_CLK,runtime_pin_display,0.96
IC100,AF31,AF31,AF31,EMMC_CLK,components_api,0.93
IC100,AF4,AF4,AF4,GND,runtime_pin_display,0.96
IC100,AF4,AF4,AF4,GND,components_api,0.93
IC100,AF5,AF5,AF5,FE_DEMOD1_TS_DATA[5],runtime_pin_display,0.96
IC100,AF5,AF5,AF5,FE_DEMOD1_TS_DATA[5],components_api,0.93
IC100,AF6,AF6,AF6,FE_DEMOD1_TS_DATA[6],runtime_pin_display,0.96
IC100,AF6,AF6,AF6,FE_DEMOD1_TS_DATA[6],components_api,0.93
IC100,AF7,AF7,AF7,FE_DEMOD1_TS_DATA[4],runtime_pin_display,0.96
IC100,AF7,AF7,AF7,FE_DEMOD1_TS_DATA[4],components_api,0.93
IC100,AF8,AF8,AF8,FE_DEMOD1_TS_DATA[3],runtime_pin_display,0.96
IC100,AF8,AF8,AF8,FE_DEMOD1_TS_DATA[3],components_api,0.93
IC100,AF9,AF9,AF9,FE_DEMOD1_TS_DATA[2],runtime_pin_display,0.96
IC100,AF9,AF9,AF9,FE_DEMOD1_TS_DATA[2],components_api,0.93
IC100,AG1,AG1,AG1,HDMI2.1_3_D2_+_IM90,runtime_pin_display,0.96
IC100,AG1,AG1,AG1,HDMI2.1_3_D2_+_IM90,components_api,0.93
IC100,AG23,AG23,AG23,GND,runtime_pin_display,0.96
IC100,AG23,AG23,AG23,GND,components_api,0.93
IC100,AG24,AG24,AG24,TPI_DATA[7],runtime_pin_display,0.96
IC100,AG24,AG24,AG24,TPI_DATA[7],components_api,0.93
IC100,AG25,AG25,AG25,TPI_DATA[6],runtime_pin_display,0.96
IC100,AG25,AG25,AG25,TPI_DATA[6],components_api,0.93
IC100,AG26,AG26,AG26,TPI_DATA[5],runtime_pin_display,0.96
IC100,AG26,AG26,AG26,TPI_DATA[5],components_api,0.93
IC100,AG27,AG27,AG27,TPI_DATA[4],runtime_pin_display,0.96
IC100,AG27,AG27,AG27,TPI_DATA[4],components_api,0.93
IC100,AG28,AG28,AG28,TPI_DATA[3],runtime_pin_display,0.96
IC100,AG28,AG28,AG28,TPI_DATA[3],components_api,0.93
IC100,AG29,AG29,AG29,EB_DATA[1],runtime_pin_display,0.96
IC100,AG29,AG29,AG29,EB_DATA[1],components_api,0.93
IC100,AG3,AG3,AG3,GND,runtime_pin_display,0.96
IC100,AG3,AG3,AG3,GND,components_api,0.93
IC100,AG30,AG30,AG30,EB_DATA[2],runtime_pin_display,0.96
IC100,AG30,AG30,AG30,EB_DATA[2],components_api,0.93
IC100,AH1,AH1,AH1,HDMI2.1_2_CK_-_IM90,runtime_pin_display,0.96
IC100,AH1,AH1,AH1,HDMI2.1_2_CK_-_IM90,components_api,0.93
IC100,AH2,AH2,AH2,GND,runtime_pin_display,0.96
IC100,AH2,AH2,AH2,GND,components_api,0.93
IC100,AH29,AH29,AH29,EB_ADDR[1],runtime_pin_display,0.96
IC100,AH29,AH29,AH29,EB_ADDR[1],components_api,0.93
IC100,AH3,AH3,AH3,GND,runtime_pin_display,0.96
IC100,AH3,AH3,AH3,GND,components_api,0.93
IC100,AH30,AH30,AH30,EB_ADDR[0],runtime_pin_display,0.96
IC100,AH30,AH30,AH30,EB_ADDR[0],components_api,0.93
IC100,AH31,AH31,AH31,EB_DATA[0],runtime_pin_display,0.96
IC100,AH31,AH31,AH31,EB_DATA[0],components_api,0.93
IC100,AH4,AH4,AH4,GND,runtime_pin_display,0.96
IC100,AH4,AH4,AH4,GND,components_api,0.93
IC100,AH5,AH5,AH5,FE_DEMOD1_TS_DATA[1],runtime_pin_display,0.96
IC100,AH5,AH5,AH5,FE_DEMOD1_TS_DATA[1],components_api,0.93
IC100,AH6,AH6,AH6,FE_DEMOD1_TS_DATA[0],runtime_pin_display,0.96
IC100,AH6,AH6,AH6,FE_DEMOD1_TS_DATA[0],components_api,0.93
IC100,AH7,AH7,AH7,I2C_SDA_2,runtime_pin_display,0.96
IC100,AH7,AH7,AH7,I2C_SDA_2,components_api,0.93
IC100,AH8,AH8,AH8,I2C_SCL_2,runtime_pin_display,0.96
IC100,AH8,AH8,AH8,I2C_SCL_2,components_api,0.93
IC100,AH9,AH9,AH9,ZUKEN_DUMMY,runtime_pin_display,0.96
IC100,AH9,AH9,AH9,ZUKEN_DUMMY,components_api,0.93
IC100,AJ1,AJ1,AJ1,HDMI2.1_2_CK_+_IM90,runtime_pin_display,0.96
IC100,AJ1,AJ1,AJ1,HDMI2.1_2_CK_+_IM90,components_api,0.93
IC100,AJ11,AJ11,AJ11,+CPU_1V0,runtime_pin_display,0.96
IC100,AJ11,AJ11,AJ11,+CPU_1V0,components_api,0.93
IC100,AJ15,AJ15,AJ15,COMBO_RESET,runtime_pin_display,0.96
IC100,AJ15,AJ15,AJ15,COMBO_RESET,components_api,0.93
IC100,AJ16,AJ16,AJ16,+D1V8,runtime_pin_display,0.96
IC100,AJ16,AJ16,AJ16,+D1V8,components_api,0.93
IC100,AJ18,AJ18,AJ18,IR_BLASTER_DET,runtime_pin_display,0.96
IC100,AJ18,AJ18,AJ18,IR_BLASTER_DET,components_api,0.93
IC100,AJ2,AJ2,AJ2,GND,runtime_pin_display,0.96
IC100,AJ2,AJ2,AJ2,GND,components_api,0.93
IC100,AJ20,AJ20,AJ20,PANEL_CTL,runtime_pin_display,0.96
IC100,AJ20,AJ20,AJ20,PANEL_CTL,components_api,0.93
IC100,AJ22,AJ22,AJ22,POR_PERIOD,runtime_pin_display,0.96
IC100,AJ22,AJ22,AJ22,POR_PERIOD,components_api,0.93
IC100,AJ23,AJ23,AJ23,KEY2,runtime_pin_display,0.96
IC100,AJ23,AJ23,AJ23,KEY2,components_api,0.93
IC100,AJ25,AJ25,AJ25,GND,runtime_pin_display,0.96
IC100,AJ25,AJ25,AJ25,GND,components_api,0.93
IC100,AJ27,AJ27,AJ27,DISCHARGE_CTR,runtime_pin_display,0.96
IC100,AJ27,AJ27,AJ27,DISCHARGE_CTR,components_api,0.93
IC100,AJ29,AJ29,AJ29,CAM_REG_N,runtime_pin_display,0.96
IC100,AJ29,AJ29,AJ29,CAM_REG_N,components_api,0.93
IC100,AJ3,AJ3,AJ3,HDMI2.1_2_D0_-_IM90,runtime_pin_display,0.96
IC100,AJ3,AJ3,AJ3,HDMI2.1_2_D0_-_IM90,components_api,0.93
IC100,AJ30,AJ30,AJ30,EB_ADDR[2],runtime_pin_display,0.96
IC100,AJ30,AJ30,AJ30,EB_ADDR[2],components_api,0.93
IC100,AK11,AK11,AK11,LED,runtime_pin_display,0.96
IC100,AK11,AK11,AK11,LED,components_api,0.93
IC100,AK16,AK16,AK16,LED_D_FB_PWM,runtime_pin_display,0.96
IC100,AK16,AK16,AK16,LED_D_FB_PWM,components_api,0.93
IC100,AK18,AK18,AK18,EEPROM_WP,runtime_pin_display,0.96
IC100,AK18,AK18,AK18,EEPROM_WP,components_api,0.93
IC100,AK23,AK23,AK23,SIGN001668,runtime_pin_display,0.96
IC100,AK23,AK23,AK23,SIGN001668,components_api,0.93
IC100,AK25,AK25,AK25,POWER_ON_OFF2_4,runtime_pin_display,0.96
IC100,AK25,AK25,AK25,POWER_ON_OFF2_4,components_api,0.93
IC100,AK27,AK27,AK27,MODE_SELECT_PWM1,runtime_pin_display,0.96
IC100,AK27,AK27,AK27,MODE_SELECT_PWM1,components_api,0.93
IC100,AK29,AK29,AK29,CAM_WAIT_N,runtime_pin_display,0.96
IC100,AK29,AK29,AK29,CAM_WAIT_N,components_api,0.93
IC100,AK3,AK3,AK3,HDMI2.1_2_D0_+_IM90,runtime_pin_display,0.96
IC100,AK3,AK3,AK3,HDMI2.1_2_D0_+_IM90,components_api,0.93
IC100,AK30,AK30,AK30,EB_ADDR[4],runtime_pin_display,0.96
IC100,AK30,AK30,AK30,EB_ADDR[4],components_api,0.93
IC100,AK31,AK31,AK31,EB_ADDR[3],runtime_pin_display,0.96
IC100,AK31,AK31,AK31,EB_ADDR[3],components_api,0.93
IC100,AK4,AK4,AK4,GND,runtime_pin_display,0.96
IC100,AK4,AK4,AK4,GND,components_api,0.93
IC100,AK5,AK5,AK5,GND,runtime_pin_display,0.96
IC100,AK5,AK5,AK5,GND,components_api,0.93
IC100,AK6,AK6,AK6,GND,runtime_pin_display,0.96
IC100,AK6,AK6,AK6,GND,components_api,0.93
IC100,AK7,AK7,AK7,HDMI_DET3,runtime_pin_display,0.96
IC100,AK7,AK7,AK7,HDMI_DET3,components_api,0.93
IC100,AK8,AK8,AK8,HDMI_DET4,runtime_pin_display,0.96
IC100,AK8,AK8,AK8,HDMI_DET4,components_api,0.93
IC100,AK9,AK9,AK9,CVBS_DET,runtime_pin_display,0.96
IC100,AK9,AK9,AK9,CVBS_DET,components_api,0.93
IC100,AL11,AL11,AL11,AMP_MUTE,runtime_pin_display,0.96
IC100,AL11,AL11,AL11,AMP_MUTE,components_api,0.93
IC100,AL13,AL13,AL13,BT_WAKEUP_HOST,runtime_pin_display,0.96
IC100,AL13,AL13,AL13,BT_WAKEUP_HOST,components_api,0.93
IC100,AL15,AL15,AL15,WIFI_EN,runtime_pin_display,0.96
IC100,AL15,AL15,AL15,WIFI_EN,components_api,0.93
IC100,AL16,AL16,AL16,WOV_RLON,runtime_pin_display,0.96
IC100,AL16,AL16,AL16,WOV_RLON,components_api,0.93
IC100,AL18,AL18,AL18,I2C_SCL_5,runtime_pin_display,0.96
IC100,AL18,AL18,AL18,I2C_SCL_5,components_api,0.93
IC100,AL20,AL20,AL20,UEI_IR_TX,runtime_pin_display,0.96
IC100,AL20,AL20,AL20,UEI_IR_TX,components_api,0.93
IC100,AL22,AL22,AL22,HDMI_DET2,runtime_pin_display,0.96
IC100,AL22,AL22,AL22,HDMI_DET2,components_api,0.93
IC100,AL23,AL23,AL23,GND,runtime_pin_display,0.96
IC100,AL23,AL23,AL23,GND,components_api,0.93
IC100,AL25,AL25,AL25,POWER_ON_OFF2_3,runtime_pin_display,0.96
IC100,AL25,AL25,AL25,POWER_ON_OFF2_3,components_api,0.93
IC100,AL27,AL27,AL27,INV_CTL,runtime_pin_display,0.96
IC100,AL27,AL27,AL27,INV_CTL,components_api,0.93
IC100,AL29,AL29,AL29,PCM_RESET,runtime_pin_display,0.96
IC100,AL29,AL29,AL29,PCM_RESET,components_api,0.93
IC100,AL3,AL3,AL3,GND,runtime_pin_display,0.96
IC100,AL3,AL3,AL3,GND,components_api,0.93
IC100,AL30,AL30,AL30,EB_ADDR[5],runtime_pin_display,0.96
IC100,AL30,AL30,AL30,EB_ADDR[5],components_api,0.93
IC100,AL4,AL4,AL4,GND,runtime_pin_display,0.96
IC100,AL4,AL4,AL4,GND,components_api,0.93
IC100,AM11,AM11,AM11,I2C_SDA_0,runtime_pin_display,0.96
IC100,AM11,AM11,AM11,I2C_SDA_0,components_api,0.93
IC100,AM13,AM13,AM13,GND,runtime_pin_display,0.96
IC100,AM13,AM13,AM13,GND,components_api,0.93
IC100,AM16,AM16,AM16,IR,runtime_pin_display,0.96
IC100,AM16,AM16,AM16,IR,components_api,0.93
IC100,AM18,AM18,AM18,I2C_SDA_5,runtime_pin_display,0.96
IC100,AM18,AM18,AM18,I2C_SDA_5,components_api,0.93
IC100,AM20,AM20,AM20,GND,runtime_pin_display,0.96
IC100,AM20,AM20,AM20,GND,components_api,0.93
IC100,AM23,AM23,AM23,SIGN001575,runtime_pin_display,0.96
IC100,AM23,AM23,AM23,SIGN001575,components_api,0.93
IC100,AM25,AM25,AM25,POWER_ON_OFF1,runtime_pin_display,0.96
IC100,AM25,AM25,AM25,POWER_ON_OFF1,components_api,0.93
IC100,AM27,AM27,AM27,LED_RGB,runtime_pin_display,0.96
IC100,AM27,AM27,AM27,LED_RGB,components_api,0.93
IC100,AM29,AM29,AM29,EB_ADDR[12],runtime_pin_display,0.96
IC100,AM29,AM29,AM29,EB_ADDR[12],components_api,0.93
IC100,AM3,AM3,AM3,HDMI2.1_2_D1_-_IM90,runtime_pin_display,0.96
IC100,AM3,AM3,AM3,HDMI2.1_2_D1_-_IM90,components_api,0.93
IC100,AM30,AM30,AM30,EB_ADDR[7],runtime_pin_display,0.96
IC100,AM30,AM30,AM30,EB_ADDR[7],components_api,0.93
IC100,AM31,AM31,AM31,EB_ADDR[6],runtime_pin_display,0.96
IC100,AM31,AM31,AM31,EB_ADDR[6],components_api,0.93
IC100,AM4,AM4,AM4,GND,runtime_pin_display,0.96
IC100,AM4,AM4,AM4,GND,components_api,0.93
IC100,AM5,AM5,AM5,ZUKEN_DUMMY,runtime_pin_display,0.96
IC100,AM5,AM5,AM5,ZUKEN_DUMMY,components_api,0.93
IC100,AM6,AM6,AM6,HDMI2.1_3_HPD,runtime_pin_display,0.96
IC100,AM6,AM6,AM6,HDMI2.1_3_HPD,components_api,0.93
IC100,AM7,AM7,AM7,HDMI2.1_3_5V_DET,runtime_pin_display,0.96
IC100,AM7,AM7,AM7,HDMI2.1_3_5V_DET,components_api,0.93
IC100,AM8,AM8,AM8,DDC_SDA_3,runtime_pin_display,0.96
IC100,AM8,AM8,AM8,DDC_SDA_3,components_api,0.93
IC100,AM9,AM9,AM9,DDC_SCL_3,runtime_pin_display,0.96
IC100,AM9,AM9,AM9,DDC_SCL_3,components_api,0.93
IC100,AN1,AN1,AN1,HDMI2.1_2_D2_-_IM90,runtime_pin_display,0.96
IC100,AN1,AN1,AN1,HDMI2.1_2_D2_-_IM90,components_api,0.93
IC100,AN11,AN11,AN11,I2C_SCL_0,runtime_pin_display,0.96
IC100,AN11,AN11,AN11,I2C_SCL_0,components_api,0.93
IC100,AN13,AN13,AN13,GND,runtime_pin_display,0.96
IC100,AN13,AN13,AN13,GND,components_api,0.93
IC100,AN15,AN15,AN15,WOL_WIFI_POWER_ON,runtime_pin_display,0.96
IC100,AN15,AN15,AN15,WOL_WIFI_POWER_ON,components_api,0.93
IC100,AN16,AN16,AN16,MIC_DATA_SOC,runtime_pin_display,0.96
IC100,AN16,AN16,AN16,MIC_DATA_SOC,components_api,0.93
IC100,AN18,AN18,AN18,HP_MUTE,runtime_pin_display,0.96
IC100,AN18,AN18,AN18,HP_MUTE,components_api,0.93
IC100,AN2,AN2,AN2,GND,runtime_pin_display,0.96
IC100,AN2,AN2,AN2,GND,components_api,0.93
IC100,AN20,AN20,AN20,GND,runtime_pin_display,0.96
IC100,AN20,AN20,AN20,GND,components_api,0.93
IC100,AN22,AN22,AN22,HDMI_DET1,runtime_pin_display,0.96
IC100,AN22,AN22,AN22,HDMI_DET1,components_api,0.93
IC100,AN23,AN23,AN23,SOC_TX,runtime_pin_display,0.96
IC100,AN23,AN23,AN23,SOC_TX,components_api,0.93
IC100,AN25,AN25,AN25,LSDAC,runtime_pin_display,0.96
IC100,AN25,AN25,AN25,LSDAC,components_api,0.93
IC100,AN27,AN27,AN27,RL_ON_SOC,runtime_pin_display,0.96
